case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N8192__b2048__skewed_b32_b8__fp32__rows4,8192,2048,skewed_b32_b8,skewed,64,256,fp32,4,68026880,0.689252,0.6544,2.323387,2.322626,2.082777,2.081925,21.340807,21.27585,10.246323538237652,2.772029,3,7.2626036736e10,7.4089234432e10,1.9749126944251807,35572.33176283395,51521.55810115334
N16384__b1024__constant_b32__fp16_fp32__rows4,16384,1024,constant_b32,constant,32,32,fp16_fp32,4,69206016,11.635583,11.300361,13.853983,13.378992,2.08497,2.062436,11.943503,11.942733,5.728381223710652,13.720553,1,2.92057776128e11,2.92057776128e11,0.0,140077.68751013203,736475.1381741186
N16384__b1024__constant_b16__fp16_fp32__rows4,16384,1024,constant_b16,constant,64,64,fp16_fp32,4,142606336,9.763491,9.746647,12.496461,12.466166,3.096815,3.06705,11.943503,11.942733,3.8567053569554526,12.860306,2,6.18475290624e11,6.18475290624e11,0.0,199713.34762457557,736475.1381741186
N16384__b1024__constant_b8__fp16_fp32__rows4,16384,1024,constant_b8,constant,128,128,fp16_fp32,4,301989888,11.363786,10.531941,65.614844,21.817912,5.302105,5.295385,11.943503,11.942733,2.252596468760992,16.665891,1,1.37438953472e12,1.37438953472e12,0.0,259215.8274345755,736475.1381741186
N16384__b1024__uniform_b32_b8__fp16_fp32__rows4,16384,1024,uniform_b32_b8,uniform,32,128,fp16_fp32,4,191846400,11.639398,11.634602,14.582944,14.330386,3.986687,3.953035,11.943503,11.942733,2.9958466767017327,15.626085,2,7.73253701632e11,8.146518016e11,5.081692557076891,204343.0551733808,736475.1381741186
N16384__b1024__skewed_b32_b8__fp16_fp32__rows4,16384,1024,skewed_b32_b8,skewed,32,128,fp16_fp32,4,153914752,10.247655,10.064692,12.628509,12.360828,3.442652,3.441079,11.943503,11.942733,3.4692739783167164,13.690307,2,5.9446224896e11,6.30415425536e11,5.7030927733774,183119.12605049828,736475.1381741186
N16384__b1024__constant_b32__fp32_tf32__rows4,16384,1024,constant_b32,constant,32,32,fp32_tf32,4,138412032,56.235909,11.59334,23.145548,22.307825,2.714893,2.712149,23.760738,23.199058,8.75199796087728,58.950801999999996,3,2.92057776128e11,2.92057776128e11,0.0,107576.16455897156,370194.43681454676
N16384__b1024__constant_b16__fp32_tf32__rows4,16384,1024,constant_b16,constant,64,64,fp32_tf32,4,285212672,10.996236,10.800914,14.130847,13.920923,4.589168,4.571331,23.760738,23.199058,5.177569877590012,15.585404,2,6.18475290624e11,6.18475290624e11,0.0,134768.50065719974,370194.43681454676
N16384__b1024__constant_b8__fp32_tf32__rows4,16384,1024,constant_b8,constant,128,128,fp32_tf32,4,603979776,9.967046,9.663882,13.427334,13.399072,9.058547,9.049533,23.760738,23.199058,2.6230186805897233,19.025593,3,1.37438953472e12,1.37438953472e12,0.0,151722.95675233565,370194.43681454676
N16384__b1024__uniform_b32_b8__fp32_tf32__rows4,16384,1024,uniform_b32_b8,uniform,32,128,fp32_tf32,4,383692800,10.968745,10.512642,13.550689,13.355617,6.008162,5.984996,23.760738,23.199058,3.9547432309581536,16.976907,2,7.73253701632e11,8.146518016e11,5.081692557076891,135590.8515116603,370194.43681454676
N16384__b1024__skewed_b32_b8__fp32_tf32__rows4,16384,1024,skewed_b32_b8,skewed,32,128,fp32_tf32,4,307829504,10.313304,10.208287,12.927496,12.842439,4.911721,4.896197,23.760738,23.199058,4.837558566539101,15.225025,2,5.9446224896e11,6.30415425536e11,5.7030927733774,128349.19278517652,370194.43681454676
N16384__b1024__constant_b32__fp32__rows4,16384,1024,constant_b32,constant,32,32,fp32,4,138412032,11.162555,11.062956,15.177684,14.583184,8.516105,8.512058,163.689046,163.601765,19.221116461105165,19.67866,2,2.92057776128e11,2.92057776128e11,0.0,34294.759884712556,53736.601422968764
N16384__b1024__constant_b16__fp32__rows4,16384,1024,constant_b16,constant,64,64,fp32,4,285212672,9.843791,9.838254,18.441668,18.435309,15.8765,15.86319,163.689046,163.601765,10.31014682077284,25.720291,4,6.18475290624e11,6.18475290624e11,0.0,38955.39260063616,53736.601422968764
N16384__b1024__constant_b8__fp32__rows4,16384,1024,constant_b8,constant,128,128,fp32,4,603979776,11.093822,10.382178,32.995408,32.894338,30.982997,30.975606,163.689046,163.601765,5.283189550707441,42.076819,6,1.37438953472e12,1.37438953472e12,0.0,44359.47673880613,53736.601422968764
N16384__b1024__uniform_b32_b8__fp32__rows4,16384,1024,uniform_b32_b8,uniform,32,128,fp32,4,383692800,10.601436,10.375017,132.503035,34.103267,21.095771,21.079897,163.689046,163.601765,7.759329867583412,31.697207,1,7.73253701632e11,8.146518016e11,5.081692557076891,38616.829960848554,53736.601422968764
N16384__b1024__skewed_b32_b8__fp32__rows4,16384,1024,skewed_b32_b8,skewed,32,128,fp32,4,307829504,10.715376,10.70456,20.146219,20.118398,17.541311,17.526799,163.689046,163.601765,9.331631256067462,28.256687,5,5.9446224896e11,6.30415425536e11,5.7030927733774,35938.90020740183,53736.601422968764
N16384__b2048__constant_b32__fp16_fp32__rows4,16384,2048,constant_b32,constant,64,64,fp16_fp32,4,69206016,2.347393,2.279892,3.329322,3.121621,1.347677,1.345974,11.943503,11.942733,8.862288960930549,3.69507,2,2.92057776128e11,2.92057776128e11,0.0,216711.99859313472,736475.1381741186
N16384__b2048__constant_b16__fp16_fp32__rows4,16384,2048,constant_b16,constant,128,128,fp16_fp32,4,142606336,4.299254,4.221307,5.85369,5.840901,2.25875,2.244219,11.943503,11.942733,5.287660431654676,6.558004,2,6.18475290624e11,6.18475290624e11,0.0,273813.07830614276,736475.1381741186
N16384__b2048__constant_b8__fp16_fp32__rows4,16384,2048,constant_b8,constant,256,256,fp16_fp32,4,301989888,2.703436,2.602204,6.25472,5.773671,4.609809,4.583029,11.943503,11.942733,2.590888906677044,7.313245,2,1.37438953472e12,1.37438953472e12,0.0,298144.5727404324,736475.1381741186
N16384__b2048__uniform_b32_b8__fp16_fp32__rows4,16384,2048,uniform_b32_b8,uniform,64,256,fp16_fp32,4,182571520,2.301334,2.242066,4.167737,4.14314,3.10113,3.10046,11.943503,11.942733,3.8513390280317177,5.402464,3,7.24951597056e11,7.453802496e11,2.7407021523528172,240357.6275744648,736475.1381741186
N16384__b2048__skewed_b32_b8__fp16_fp32__rows4,16384,2048,skewed_b32_b8,skewed,64,256,fp16_fp32,4,139369856,2.381584,2.361054,3.878745,3.823732,2.403658,2.403417,11.943503,11.942733,4.9688861726585065,4.785242,2,5.43253225472e11,5.5785029632e11,2.6166645324548994,232083.88893927506,736475.1381741186
N16384__b2048__constant_b32__fp32_tf32__rows4,16384,2048,constant_b32,constant,64,64,fp32_tf32,4,138412032,2.392791,2.191239,3.464735,3.40725,2.101946,2.084059,23.760738,23.199058,11.3041619527809,4.494737,2,2.92057776128e11,2.92057776128e11,0.0,138946.37451580583,370194.43681454676
N16384__b2048__constant_b16__fp32_tf32__rows4,16384,2048,constant_b16,constant,128,128,fp32_tf32,4,285212672,3.173289,3.060871,4.766063,4.662939,3.650714,3.64178,23.760738,23.199058,6.508518059754887,6.824002999999999,3,6.18475290624e11,6.18475290624e11,0.0,169412.1453019875,370194.43681454676
N16384__b2048__constant_b8__fp32_tf32__rows4,16384,2048,constant_b8,constant,256,256,fp32_tf32,4,603979776,2.628633,2.587853,8.507181,8.43325,7.540845,7.535417,23.760738,23.199058,3.1509383895306162,10.169478,3,1.37438953472e12,1.37438953472e12,0.0,182259.35352337835,370194.43681454676
N16384__b2048__uniform_b32_b8__fp32_tf32__rows4,16384,2048,uniform_b32_b8,uniform,64,256,fp32_tf32,4,365143040,2.911176,2.593111,6.068071,6.017466,4.642878,4.640945,23.760738,23.199058,5.117674425216428,7.554054,3,7.24951597056e11,7.453802496e11,2.7407021523528172,160542.71716810134,370194.43681454676
N16384__b2048__skewed_b32_b8__fp32_tf32__rows4,16384,2048,skewed_b32_b8,skewed,64,256,fp32_tf32,4,278739712,4.290511,4.177452,15.895108,6.382752,3.604194,3.592997,23.760738,23.199058,6.592524708714348,7.894705,1,5.43253225472e11,5.5785029632e11,2.6166645324548994,154778.0991589243,370194.43681454676
N16384__b2048__constant_b32__fp32__rows4,16384,2048,constant_b32,constant,64,64,fp32,4,138412032,2.2914,2.287994,8.349115,8.346681,7.513635,7.500494,163.689046,163.601765,21.78559991269206,9.805035,3,2.92057776128e11,2.92057776128e11,0.0,38870.370483527615,53736.601422968764
N16384__b2048__constant_b16__fp32__rows4,16384,2048,constant_b16,constant,128,128,fp32,4,285212672,2.810316,2.675494,14.348523,14.287482,13.568416,13.565191,163.689046,163.601765,12.063976075026002,16.378732,4,6.18475290624e11,6.18475290624e11,0.0,45581.98175999321,53736.601422968764
N16384__b2048__constant_b8__fp32__rows4,16384,2048,constant_b8,constant,256,256,fp32,4,603979776,3.663142,3.537835,30.579283,30.369609,29.921729,29.826647,163.689046,163.601765,5.470574444411284,33.584871,6,1.37438953472e12,1.37438953472e12,0.0,45932.824761563745,53736.601422968764
N16384__b2048__uniform_b32_b8__fp32__rows4,16384,2048,uniform_b32_b8,uniform,64,256,fp32,4,365143040,2.665609,2.560481,19.125212,19.092192,18.622108,18.602699,163.689046,163.601765,8.79003848543892,21.287717,6,7.24951597056e11,7.453802496e11,2.7407021523528172,40026.631227785816,53736.601422968764
N16384__b2048__skewed_b32_b8__fp32__rows4,16384,2048,skewed_b32_b8,skewed,64,256,fp32,4,278739712,2.811036,2.622785,14.530035,14.529503,13.997648,13.983146,163.689046,163.601765,11.694039312890279,16.808684,6,5.43253225472e11,5.5785029632e11,2.6166645324548994,39853.14506551386,53736.601422968764
N16384__b4096__constant_b32__fp16_fp32__rows4,16384,4096,constant_b32,constant,128,128,fp16_fp32,4,69206016,0.689042,0.608581,1.842667,1.775567,1.146906,1.146876,11.943503,11.942733,10.413672088209497,1.8359480000000001,1,2.92057776128e11,2.92057776128e11,0.0,254648.39849822043,736475.1381741186
N16384__b4096__constant_b16__fp16_fp32__rows4,16384,4096,constant_b16,constant,256,256,fp16_fp32,4,142606336,1.667706,1.327617,3.363093,3.195212,2.094084,2.083007,11.943503,11.942733,5.703449813856559,3.76179,2,6.18475290624e11,6.18475290624e11,0.0,295344.06959033164,736475.1381741186
N16384__b4096__constant_b8__fp16_fp32__rows4,16384,4096,constant_b8,constant,512,512,fp16_fp32,4,301989888,1.248839,1.217602,4.990728,4.872572,4.415929,4.412704,11.943503,11.942733,2.704641084582655,5.6647680000000005,3,1.37438953472e12,1.37438953472e12,0.0,311234.5181999077,736475.1381741186
N16384__b4096__uniform_b32_b8__fp16_fp32__rows4,16384,4096,uniform_b32_b8,uniform,128,512,fp16_fp32,4,173455616,1.114738,1.099936,3.45505,3.340069,2.619019,2.615244,11.943503,11.942733,4.560296431602825,3.733757,2,7.54489884672e11,7.63818409984e11,1.2213014494106536,291642.943401327,736475.1381741186
N16384__b4096__skewed_b32_b8__fp16_fp32__rows4,16384,4096,skewed_b32_b8,skewed,128,512,fp16_fp32,4,135401472,1.117182,1.073576,2.903324,2.90047,2.070048,2.069357,11.943503,11.942733,5.769674423008548,3.1872299999999996,2,5.81926682624e11,5.89517815808e11,1.2876851183191986,284784.6116650435,736475.1381741186
N16384__b4096__constant_b32__fp32_tf32__rows4,16384,4096,constant_b32,constant,128,128,fp32_tf32,4,138412032,0.714549,0.677925,2.382476,2.376457,1.833063,1.825603,23.760738,23.199058,12.962313897558348,2.547612,2,2.92057776128e11,2.92057776128e11,0.0,159327.73512312453,370194.43681454676
N16384__b4096__constant_b16__fp32_tf32__rows4,16384,4096,constant_b16,constant,256,256,fp32_tf32,4,285212672,0.817844,0.659827,3.732736,3.660268,3.358556,3.356152,23.760738,23.199058,7.074688645953796,4.1764,3,6.18475290624e11,6.18475290624e11,0.0,184149.1672683141,370194.43681454676
N16384__b4096__constant_b8__fp32_tf32__rows4,16384,4096,constant_b8,constant,512,512,fp32_tf32,4,603979776,0.794038,0.729151,14.371617,7.415798,7.255208,7.244992,23.760738,23.199058,3.274990599855993,8.049246,1,1.37438953472e12,1.37438953472e12,0.0,189434.890732285,370194.43681454676
N16384__b4096__uniform_b32_b8__fp32_tf32__rows4,16384,4096,uniform_b32_b8,uniform,128,512,fp32_tf32,4,346911232,1.171593,1.1562,5.203638,5.05179,4.464812,4.463589,23.760738,23.199058,5.321777938242416,5.636405,2,7.54489884672e11,7.63818409984e11,1.2213014494106536,171075.15612841034,370194.43681454676
N16384__b4096__skewed_b32_b8__fp32_tf32__rows4,16384,4096,skewed_b32_b8,skewed,128,512,fp32_tf32,4,270802944,1.114157,1.103481,4.202479,4.201888,3.527169,3.527068,23.760738,23.199058,6.7364898024449635,4.641326,2,5.81926682624e11,5.89517815808e11,1.2876851183191986,167136.25454521744,370194.43681454676
N16384__b4096__constant_b32__fp32__rows4,16384,4096,constant_b32,constant,128,128,fp32,4,138412032,0.840828,0.763422,6.98268,6.942169,6.740076,6.729131,163.689046,163.601765,24.285934758005695,7.580904,4,2.92057776128e11,2.92057776128e11,0.0,43331.52565757419,53736.601422968764
N16384__b4096__constant_b16__fp32__rows4,16384,4096,constant_b16,constant,256,256,fp32,4,285212672,1.288448,1.08268,13.760683,13.71848,13.30448,13.298061,163.689046,163.601765,12.303302797253256,14.592928,3,6.18475290624e11,6.18475290624e11,0.0,46486.2430267098,53736.601422968764
N16384__b4096__constant_b8__fp32__rows4,16384,4096,constant_b8,constant,512,512,fp32,4,603979776,1.345914,1.085364,29.400138,29.381611,28.872279,28.825348,163.689046,163.601765,5.66941896065773,30.218193,3,1.37438953472e12,1.37438953472e12,0.0,47602.39171698223,53736.601422968764
N16384__b4096__uniform_b32_b8__fp32__rows4,16384,4096,uniform_b32_b8,uniform,128,512,fp32,4,346911232,1.163381,1.08944,16.703908,16.682235,16.233194,16.219914,163.689046,163.601765,10.083600676490406,17.396575000000002,3,7.54489884672e11,7.63818409984e11,1.2213014494106536,47052.87264995416,53736.601422968764
N16384__b4096__skewed_b32_b8__fp32__rows4,16384,4096,skewed_b32_b8,skewed,128,512,fp32,4,270802944,1.306865,0.97546,13.150831,13.014557,12.640156,12.639515,163.689046,163.601765,12.949922928166393,13.947021,3,5.81926682624e11,5.89517815808e11,1.2876851183191986,46638.49210468605,53736.601422968764
N32768__b2048__constant_b32__fp16_fp32__rows4,32768,2048,constant_b32,constant,64,64,fp16_fp32,4,276824064,10.404311,10.202018,14.328684,14.237777,9.417915,9.417433,99.040247,97.485701,10.516154265567272,19.822226,3,2.336462209024e12,2.336462209024e12,0.0,248086.99261184668,710506.5497026072
N32768__b2048__constant_b16__fp16_fp32__rows4,32768,2048,constant_b16,constant,128,128,fp16_fp32,4,570425344,9.775099,9.761258,19.663567,19.537108,16.907041,16.839091,99.040247,97.485701,5.857929072272316,26.68214,4,4.947802324992e12,4.947802324992e12,0.0,292647.443452228,710506.5497026072
N32768__b2048__constant_b8__fp16_fp32__rows4,32768,2048,constant_b8,constant,256,256,fp16_fp32,4,1207959552,11.765638,10.834494,41.54302,39.95208,38.733385,37.951395,99.040247,97.485701,2.556973706274316,50.499022999999994,5,1.099511627776e13,1.099511627776e13,0.0,283866.6508945707,710506.5497026072
N32768__b2048__uniform_b32_b8__fp16_fp32__rows4,32768,2048,uniform_b32_b8,uniform,64,256,fp16_fp32,4,752201344,11.765177,11.123898,27.973853,27.548468,25.368235,24.726214,99.040247,97.485701,3.9041047593575193,37.133412,5,6.187483365376e12,6.34718257152e12,2.516064479704352,250201.97784828153,710506.5497026072
N32768__b2048__skewed_b32_b8__fp16_fp32__rows4,32768,2048,skewed_b32_b8,skewed,64,256,fp16_fp32,4,601253888,49.700118,41.850761,73.455027,30.439263,19.408465,18.995677,99.040247,97.485701,5.102940752913741,69.10858300000001,1,4.76291862528e12,4.900072718336e12,2.799021584777128,252470.90474882995,710506.5497026072
N32768__b2048__constant_b32__fp32_tf32__rows4,32768,2048,constant_b32,constant,64,64,fp32_tf32,4,553648128,9.438845,9.434208,17.001363,16.952881,14.503114,14.470586,199.951735,195.063038,13.786813990429918,23.941959,4,2.336462209024e12,2.336462209024e12,0.0,161100.72699035532,351928.6500697981
N32768__b2048__constant_b16__fp32_tf32__rows4,32768,2048,constant_b16,constant,128,128,fp32_tf32,4,1140850688,9.514739,9.424995,78.552958,75.68786,30.161648,28.297508,199.951735,195.063038,6.6293371966942924,39.676387,1,4.947802324992e12,4.947802324992e12,0.0,164042.83761258668,351928.6500697981
N32768__b2048__constant_b8__fp32_tf32__rows4,32768,2048,constant_b8,constant,256,256,fp32_tf32,4,2415919104,13.936586,11.357837,64.614548,63.337447,64.060468,63.747841,199.951735,195.063038,3.1212968191240815,77.997054,26,1.099511627776e13,1.099511627776e13,0.0,171636.52750335823,351928.6500697981
