case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N65536__b4096__uniform_b32_b8__fp32__rows4,65536,4096,uniform_b32_b8,uniform,128,512,fp32,4,5946509824,64.356944,27.151191,1136.120303,1135.28909,1134.81933,1131.10308,10727.456326,10695.811889,9.453008106585564,1199.176274,50,4.9504430718976e13,5.0150982549504e13,1.2892106947053115,44192.92236545178,52477.487329116164
N65536__b4096__skewed_b32_b8__fp32__rows4,65536,4096,skewed_b32_b8,skewed,128,512,fp32,4,4751356672,18.279228,12.083618,878.5914,878.04285,877.647189,876.797569,10727.456326,10695.811889,12.222971212638384,895.926417,20,3.8133229862912e13,3.8697400532992e13,1.457903275955212,44092.20586359333,52477.487329116164
N65536__b8192__constant_b32__fp16_fp32__rows4,65536,8192,constant_b32,constant,256,256,fp16_fp32,4,1107296256,3.904732,3.683611,68.301486,68.164421,67.999484,66.398429,875.571722,854.11925,12.876152442568536,71.90421599999999,13,1.8691697672192e13,1.8691697672192e13,0.0,274879.992798063,642951.2731811501
N65536__b8192__constant_b16__fp16_fp32__rows4,65536,8192,constant_b16,constant,512,512,fp16_fp32,4,2281701376,3.908087,3.801999,143.897165,143.026633,156.970785,147.464202,875.571722,854.11925,5.577927905501651,160.878872,Inf,3.9582418599936e13,3.9582418599936e13,0.0,252164.23935152008,642951.2731811501
N65536__b8192__constant_b8__fp16_fp32__rows4,65536,8192,constant_b8,constant,1024,1024,fp16_fp32,4,4831838208,4.036809,3.673686,340.63724,330.173705,349.801421,343.409297,875.571722,854.11925,2.503053645399571,353.83823,Inf,8.796093022208e13,8.796093022208e13,0.0,251459.6137734958,642951.2731811501
N65536__b8192__uniform_b32_b8__fp16_fp32__rows4,65536,8192,uniform_b32_b8,uniform,256,1024,fp16_fp32,4,2880733696,4.255246,3.951743,192.680782,190.274721,194.528196,190.718906,875.571722,854.11925,4.5010016028730355,198.783442,Inf,4.6410461609984e13,4.6706441846784e13,0.6337032432719554,240101.14115685318,642951.2731811501
N65536__b8192__skewed_b32_b8__fp16_fp32__rows4,65536,8192,skewed_b32_b8,skewed,256,1024,fp16_fp32,4,2196253696,3.969849,3.935127,138.03834,137.532013,157.941528,144.124486,875.571722,854.11925,5.543644746807819,161.91137700000002,Inf,3.4846665900032e13,3.5154584141824e13,0.8758978361108374,222579.7393945942,642951.2731811501
N65536__b8192__constant_b32__fp32_tf32__rows4,65536,8192,constant_b32,constant,256,256,fp32_tf32,4,2214592512,3.925844,3.921016,115.104979,112.980812,130.954062,118.9755,1801.867818,1784.279821,13.759541250427192,134.879906,Inf,1.8691697672192e13,1.8691697672192e13,0.0,142734.76810663575,312425.77718390216
N65536__b8192__constant_b16__fp32_tf32__rows4,65536,8192,constant_b16,constant,512,512,fp32_tf32,4,4563402752,3.813005,3.788588,315.720734,315.108919,307.741366,288.457575,1801.867818,1784.279821,5.855136868405269,311.554371,1,3.9582418599936e13,3.9582418599936e13,0.0,128622.35296614625,312425.77718390216
N65536__b8192__constant_b8__fp32_tf32__rows4,65536,8192,constant_b8,constant,1024,1024,fp32_tf32,4,9663676416,3.819325,3.727577,724.627988,714.028128,718.675682,714.230673,1801.867818,1784.279821,2.5072057718518987,722.4950070000001,1,8.796093022208e13,8.796093022208e13,0.0,122393.0799735617,312425.77718390216
N65536__b8192__uniform_b32_b8__fp32_tf32__rows4,65536,8192,uniform_b32_b8,uniform,256,1024,fp32_tf32,4,5761467392,4.08439,3.97688,399.618727,394.214602,393.987953,387.273347,1801.867818,1784.279821,4.573408410789656,398.072343,1,4.6410461609984e13,4.6706441846784e13,0.6337032432719554,118547.89338389745,312425.77718390216
N65536__b8192__skewed_b32_b8__fp32_tf32__rows4,65536,8192,skewed_b32_b8,skewed,256,1024,fp32_tf32,4,4392507392,3.822048,3.757312,297.875257,264.889477,296.14546,275.041696,1801.867818,1784.279821,6.084401287124239,299.967508,3,3.4846665900032e13,3.5154584141824e13,0.8758978361108374,118707.1520253054,312425.77718390216
N65536__b8192__constant_b32__fp32__rows4,65536,8192,constant_b32,constant,256,256,fp32,4,2214592512,3.835127,3.780286,391.327795,388.155418,399.431889,394.754902,10727.456326,10695.811889,26.856784902319102,403.267016,Inf,1.8691697672192e13,1.8691697672192e13,0.0,46795.70707032858,52477.487329116164
N65536__b8192__constant_b16__fp32__rows4,65536,8192,constant_b16,constant,512,512,fp32,4,4563402752,3.979434,3.695639,840.682276,838.15855,832.418222,829.020258,10727.456326,10695.811889,12.887099348000577,836.397656,1,3.9582418599936e13,3.9582418599936e13,0.0,47551.119802295725,52477.487329116164
N65536__b8192__constant_b8__fp32__rows4,65536,8192,constant_b8,constant,1024,1024,fp32,4,9663676416,2.665889,2.657356,1867.504991,1867.346873,1867.757403,1867.036934,10727.456326,10695.811889,5.743495546460966,1870.4232920000002,Inf,8.796093022208e13,8.796093022208e13,0.0,47094.40855691257,52477.487329116164
N65536__b8192__uniform_b32_b8__fp32__rows4,65536,8192,uniform_b32_b8,uniform,256,1024,fp32,4,5761467392,4.041707,3.680707,1050.204869,1048.564574,1046.409673,1044.423631,10727.456326,10695.811889,10.251679244559122,1050.4513800000002,2,4.6410461609984e13,4.6706441846784e13,0.6337032432719554,44634.9484833021,52477.487329116164
N65536__b8192__skewed_b32_b8__fp32__rows4,65536,8192,skewed_b32_b8,skewed,256,1024,fp32,4,4392507392,5.135794,3.982478,790.464715,789.697737,793.678654,785.797803,10727.456326,10695.811889,13.51612050032531,798.8144480000001,Inf,3.4846665900032e13,3.5154584141824e13,0.8758978361108374,44293.22114769134,52477.487329116164
N65536__b16384__constant_b32__fp16_fp32__rows4,65536,16384,constant_b32,constant,512,512,fp16_fp32,4,1107296256,1.057823,1.030672,73.113338,72.070547,70.845796,70.226178,875.571722,854.11925,12.35883808828967,71.903619,1,1.8691697672192e13,1.8691697672192e13,0.0,263836.37036405096,642951.2731811501
