case_id,N,tile_size,rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,executed_flops,executed_gflops
N8192__b1024__r128__fp32_tf32__rows3,8192,1024,128,fp32_tf32,3,113246208,2.571277,2.52674,1.282248,1.278623,1.7179869184e11,133982.4213724646
N8192__b1024__r128__fp32_tf32__rows4,8192,1024,128,fp32_tf32,4,150994944,2.382374,2.295714,1.20976,1.204672,1.7179869184e11,142010.557333686
N8192__b1024__r128__fp32_tf32__rows5,8192,1024,128,fp32_tf32,5,188743680,2.205449,2.171799,1.228337,1.226856,1.7179869184e11,139862.83230090764
N8192__b1024__r128__fp32_tf32__rows6,8192,1024,128,fp32_tf32,6,226492416,2.201824,2.189705,1.246665,1.245183,1.7179869184e11,137806.6215382641
N8192__b1024__r128__fp32_tf32__rows7,8192,1024,128,fp32_tf32,7,264241152,2.258298,2.242915,1.225273,1.221277,1.7179869184e11,140212.58269789672
N8192__b1024__r128__fp32_tf32__rows8,8192,1024,128,fp32_tf32,8,301989888,1.636097,1.633643,1.169699,1.16293,1.7179869184e11,146874.27435605228
N8192__b1024__r128__fp32__rows1,8192,1024,128,fp32,1,37748736,5.26085,5.064015,4.877286,4.870215,1.7179869184e11,35224.23984158403
N8192__b1024__r128__fp32__rows2,8192,1024,128,fp32,2,75497472,3.132646,3.107488,4.594683,4.578239,1.7179869184e11,37390.760546483834
N8192__b1024__r128__fp32__rows3,8192,1024,128,fp32,3,113246208,2.682423,2.648723,4.347714,4.291149,1.7179869184e11,39514.71781262521
N8192__b1024__r128__fp32__rows4,8192,1024,128,fp32,4,150994944,2.626108,2.492509,4.047976,4.022998,1.7179869184e11,42440.63992474263
N8192__b1024__r128__fp32__rows5,8192,1024,128,fp32,5,188743680,2.609314,2.519579,4.179682,4.178931,1.7179869184e11,41103.29250885594
N8192__b1024__r128__fp32__rows6,8192,1024,128,fp32,6,226492416,2.418688,2.399119,4.269257,4.243678,1.7179869184e11,40240.88777977058
N8192__b1024__r128__fp32__rows7,8192,1024,128,fp32,7,264241152,2.442274,2.361212,4.16469,4.162467,1.7179869184e11,41251.25563727432
N8192__b1024__r128__fp32__rows8,8192,1024,128,fp32,8,301989888,1.917158,1.883918,3.985832,3.967485,1.7179869184e11,43102.341453428045
N16384__b2048__r256__fp16_fp32__rows1,16384,2048,256,fp16_fp32,1,75497472,5.745385,5.701609,4.763876,4.763846,1.37438953472e12,288502.3738485217
N16384__b2048__r256__fp16_fp32__rows2,16384,2048,256,fp16_fp32,2,150994944,3.546415,3.360707,4.645349,4.635874,1.37438953472e12,295863.5690709137
